Designator,Footprint,Quantity,Value,LCSC Part #
BAT+1,TestPoint_Pad_4.0x4.0mm,1,BAT+,
BAT-1,TestPoint_Pad_4.0x4.0mm,1,BAT-,
"BTN_PWR1, GND1, PWR_HOLD1, VBAT2, VSYS1",TestPoint_Pad_4.0x4.0mm,5,~,
"C1, C5",1206,2,100uF,
"C11, C12",0603,2,100µF,
C3,0603,1,0.1uF,
"C6, C7",0603,2,10uF,
D3,D_SMA,1,SS34,
"D4, D5",0201,2,LED,
FB1,CDRH4D28NP100NC,1,CDRH4D28NP-2R2NC,
J4,JST_B4B-XH-A_LF__SN_,1,DATA,
J5,JST_B4B-XH-A_LF__SN_,1,PWR,
J6,JST_B4B-XH-A_LF__SN_,1,AUX,
Q1,SOP65P640X120-8N,1,FS8205A,
Q2,SOT-23,1,AO3400A,
R15,0603,1,100k,
R16,0603,1,10k,
"R17, R18, R19",0603,3,1.1k,
R3,0603,1,100,
R4,0603,1,220k,
R5,0603,1,33k,
R7,0603,1,1k,
TP10,TestPoint_Pad_D2.0mm,1,3V3,
TP4,TestPoint_Pad_D2.0mm,1,5V,
TP6,TestPoint_Pad_D2.0mm,1,-BAT,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,SOT-23-6,1,DW01A,
U4,SOT-23-6,1,MT3608,
U5,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056,
