Designator,Mid X,Mid Y,Rotation,Layer
BAT+1,113.0,-78.5,0.0,top
BAT-1,107.5,-78.5,0.0,top
BTN_PWR1,105.0,-64.0,0.0,top
C1,133.5,-74.5,0.0,top
C11,124.6375,-62.7,180.0,top
C12,120.6375,-62.7,0.0,top
C3,124.0,-69.0,90.0,top
C5,141.0625,-56.35,0.0,top
C6,145.5,-76.0,180.0,top
C7,135.6375,-54.35,0.0,top
D3,141.0,-61.35,270.0,top
D4,125.0,-55.5,180.0,top
D5,128.0,-62.7,180.0,top
FB1,139.5,-69.2,0.0,top
GND1,105.0,-71.0,0.0,top
H1,100.5,-50.0,0.0,top
H2,100.5,-76.5,0.0,top
H3,150.5,-50.5,0.0,top
H4,150.5,-76.0,0.0,top
J4,111.25,-51.0,0.0,top
J5,125.5,-51.025,0.0,top
J6,140.0,-51.025,0.0,top
JP2,111.5,-58.0,0.0,top
PWR_HOLD1,105.0,-56.5,0.0,top
Q1,113.0,-69.5,0.0,top
Q2,114.5,-65.0,180.0,top
R15,110.5,-65.0,90.0,top
R16,111.5,-62.0,0.0,top
R17,117.5,-59.2,90.0,top
R18,128.0,-57.2,0.0,top
R19,128.0,-59.7,0.0,top
R3,126.5,-69.0,270.0,top
R4,146.5,-67.0,180.0,top
R5,142.5,-75.0875,270.0,top
R7,117.0,-72.5,180.0,top
TP10,146.0,-57.5,0.0,top
TP4,146.0,-63.5,0.0,top
TP6,138.5,-75.5,0.0,top
U2,134.0,-60.0,270.0,top
U3,120.1375,-69.0,180.0,top
U4,146.6375,-71.45,180.0,top
U5,122.3,-59.0,270.0,top
VBAT2,119.0,-78.5,0.0,top
VSYS1,132.5,-69.0,0.0,top
